time,vehicle,x,y,heading,speed
0.0,opship,0.0,0.0,90.0,5.0
5.0,opship,25.0,1.5308084989341915e-15,90.0,5.0
10.0,opship,50.0,3.061616997868383e-15,90.0,5.0
15.0,opship,75.0,4.592425496802574e-15,90.0,5.0
20.0,opship,100.0,6.123233995736766e-15,90.0,5.0
25.0,opship,125.0,7.654042494670958e-15,90.0,5.0
30.0,opship,150.0,9.184850993605149e-15,90.0,5.0
35.0,opship,174.6201938253052,4.341204441673269,80.0,5.0
40.0,opship,198.1125093449529,12.891708024814989,70.0,5.0
45.0,opship,221.60482486460063,21.442211607956708,70.0,5.0
50.0,opship,245.09714038424835,29.992715191098426,70.0,5.0
55.0,opship,268.58945590389607,38.543218774240145,70.0,5.0
60.0,opship,292.0817714235438,47.093722357381864,70.0,5.0
65.0,opship,315.5740869431915,55.64422594052358,70.0,5.0
70.0,opship,339.0664024628392,64.1947295236653,70.0,5.0
75.0,opship,362.55871798248694,72.74523310680702,70.0,5.0
80.0,opship,386.05103350213466,81.29573668994874,70.0,5.0
85.0,opship,409.5433490217824,89.84624027309046,70.0,5.0
90.0,opship,433.0356645414301,98.39674385623218,70.0,5.0
95.0,opship,456.5279800610778,106.9472474393739,70.0,5.0
100.0,opship,480.02029558072553,115.49775102251562,70.0,5.0
105.0,opship,504.9484325118074,113.60355220897206,94.34534830228722,5.0
110.0,opship,529.8765694428894,111.70935339542851,94.34534830228722,5.0
115.0,opship,554.8047063739713,109.81515458188495,94.34534830228722,5.0
120.0,opship,579.7328433050532,107.9209557683414,94.34534830228722,5.0
125.0,opship,604.6609802361351,106.02675695479785,94.34534830228722,5.0
130.0,opship,629.589117167217,104.1325581412543,94.34534830228722,5.0
135.0,opship,654.5172540982988,102.23835932771074,94.34534830228722,5.0
140.0,opship,679.4453910293807,100.34416051416719,94.34534830228722,5.0
145.0,opship,704.3735279604626,98.44996170062363,94.34534830228722,5.0
150.0,opship,729.3016648915445,96.55576288708008,94.34534830228722,5.0
155.0,opship,754.2298018226264,94.66156407353652,94.34534830228722,5.0
160.0,opship,779.1579387537083,92.76736525999297,94.34534830228722,5.0
165.0,opship,804.0860756847902,90.87316644644942,94.34534830228722,5.0
170.0,opship,829.0142126158721,88.97896763290586,94.34534830228722,5.0
175.0,opship,853.942349546954,87.08476881936231,94.34534830228722,5.0
180.0,opship,878.8704864780359,85.19057000581876,94.34534830228722,5.0
185.0,opship,903.7986234091178,83.2963711922752,94.34534830228722,5.0
190.0,opship,928.7267603401997,81.40217237873165,94.34534830228722,5.0
195.0,opship,953.6548972712816,79.5079735651881,94.34534830228722,5.0
200.0,opship,978.5830342023635,77.61377475164454,94.34534830228722,5.0
205.0,opship,1003.5111711334454,75.71957593810099,94.34534830228722,5.0
210.0,opship,1028.4393080645273,73.82537712455743,94.34534830228722,5.0
215.0,opship,1053.3674449956093,71.93117831101388,94.34534830228722,5.0
220.0,opship,1078.2955819266913,70.03697949747033,94.34534830228722,5.0
225.0,opship,1103.2237188577733,68.14278068392677,94.34534830228722,5.0
230.0,opship,1128.1518557888553,66.24858187038322,94.34534830228722,5.0
